Id,Date,Disease,Cases,Source
DPSRT01114E,2022-02-14,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT006B8E,2022-02-14,CHOLERA,0.0,PIDSR
DPSRT00FDCE,2022-02-14,TYPHOID FEVER,3.0,PIDSR
DPSRT00226E,2022-02-14,ACUTE BLOODY DIARRHEA,0.0,PIDSR
DPSRT00B4AE,2022-02-14,LEPTOSPIROSIS,0.0,PIDSR
DPSRT01225E,2022-02-14,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT00901E,2022-02-14,DENGUE FEVER,55.0,PIDSR
DPSRT00227A,2022-02-21,ACUTE BLOODY DIARRHEA,0.0,PIDSR
DPSRT00FDDA,2022-02-21,TYPHOID FEVER,1.0,PIDSR
DPSRT00470A,2022-02-21,HEPATITIS A,0.0,PIDSR
DPSRT00D94A,2022-02-21,RABIES,0.0,PIDSR
DPSRT006B9A,2022-02-21,CHOLERA,0.0,PIDSR
DPSRT00B4BA,2022-02-21,LEPTOSPIROSIS,0.0,PIDSR
DPSRT01115A,2022-02-21,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT01226A,2022-02-21,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT00902A,2022-02-21,DENGUE FEVER,59.0,PIDSR
DPSRT012276,2022-02-28,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT00D956,2022-02-28,RABIES,0.0,PIDSR
DPSRT009036,2022-02-28,DENGUE FEVER,68.0,PIDSR
DPSRT006BA6,2022-02-28,CHOLERA,0.0,PIDSR
DPSRT002286,2022-02-28,ACUTE BLOODY DIARRHEA,0.0,PIDSR
DPSRT004716,2022-02-28,HEPATITIS A,0.0,PIDSR
DPSRT011166,2022-02-28,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT00FDE6,2022-02-28,TYPHOID FEVER,2.0,PIDSR
DPSRT00B4C6,2022-02-28,LEPTOSPIROSIS,0.0,PIDSR
DPSRT002292,2022-03-07,ACUTE BLOODY DIARRHEA,0.0,PIDSR
DPSRT012282,2022-03-07,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT00B4D2,2022-03-07,LEPTOSPIROSIS,0.0,PIDSR
DPSRT011172,2022-03-07,ROTAVIRAL ENTERITIS,1.0,PIDSR
DPSRT009042,2022-03-07,DENGUE FEVER,101.0,PIDSR
DPSRT006BB2,2022-03-07,CHOLERA,1.0,PIDSR
DPSRT004722,2022-03-07,HEPATITIS A,0.0,PIDSR
DPSRT00D962,2022-03-07,RABIES,0.0,PIDSR
DPSRT00FDF2,2022-03-07,TYPHOID FEVER,4.0,PIDSR
DPSRT00B4DE,2022-03-14,LEPTOSPIROSIS,0.0,PIDSR
DPSRT00904E,2022-03-14,DENGUE FEVER,144.0,PIDSR
DPSRT00FDFE,2022-03-14,TYPHOID FEVER,3.0,PIDSR
DPSRT00D96E,2022-03-14,RABIES,0.0,PIDSR
DPSRT00229E,2022-03-14,ACUTE BLOODY DIARRHEA,0.0,PIDSR
DPSRT01117E,2022-03-14,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT006BBE,2022-03-14,CHOLERA,0.0,PIDSR
DPSRT00472E,2022-03-14,HEPATITIS A,1.0,PIDSR
DPSRT01228E,2022-03-14,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT00D97A,2022-03-21,RABIES,0.0,PIDSR
DPSRT00FE0A,2022-03-21,TYPHOID FEVER,6.0,PIDSR
DPSRT006BCA,2022-03-21,CHOLERA,1.0,PIDSR
DPSRT00473A,2022-03-21,HEPATITIS A,0.0,PIDSR
DPSRT00905A,2022-03-21,DENGUE FEVER,148.0,PIDSR
DPSRT01118A,2022-03-21,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT0022AA,2022-03-21,ACUTE BLOODY DIARRHEA,0.0,PIDSR
DPSRT01229A,2022-03-21,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT00B4EA,2022-03-21,LEPTOSPIROSIS,0.0,PIDSR
DPSRT00FE16,2022-03-28,TYPHOID FEVER,3.0,PIDSR
DPSRT011196,2022-03-28,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT0022B6,2022-03-28,ACUTE BLOODY DIARRHEA,1.0,PIDSR
DPSRT00D986,2022-03-28,RABIES,0.0,PIDSR
DPSRT006BD6,2022-03-28,CHOLERA,0.0,PIDSR
DPSRT00B4F6,2022-03-28,LEPTOSPIROSIS,0.0,PIDSR
DPSRT004746,2022-03-28,HEPATITIS A,0.0,PIDSR
DPSRT009066,2022-03-28,DENGUE FEVER,141.0,PIDSR
DPSRT0122A6,2022-03-28,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT00B502,2022-04-04,LEPTOSPIROSIS,0.0,PIDSR
DPSRT0122B2,2022-04-04,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT004752,2022-04-04,HEPATITIS A,0.0,PIDSR
DPSRT00FE22,2022-04-04,TYPHOID FEVER,0.0,PIDSR
DPSRT0111A2,2022-04-04,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT006BE2,2022-04-04,CHOLERA,0.0,PIDSR
DPSRT009072,2022-04-04,DENGUE FEVER,173.0,PIDSR
DPSRT00D992,2022-04-04,RABIES,0.0,PIDSR
DPSRT0022C2,2022-04-04,ACUTE BLOODY DIARRHEA,0.0,PIDSR
DPSRT00475E,2022-04-11,HEPATITIS A,0.0,PIDSR
DPSRT006BEE,2022-04-11,CHOLERA,1.0,PIDSR
DPSRT00907E,2022-04-11,DENGUE FEVER,189.0,PIDSR
DPSRT00B50E,2022-04-11,LEPTOSPIROSIS,0.0,PIDSR
DPSRT0122BE,2022-04-11,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT0022CE,2022-04-11,ACUTE BLOODY DIARRHEA,1.0,PIDSR
DPSRT00FE2E,2022-04-11,TYPHOID FEVER,13.0,PIDSR
DPSRT00D99E,2022-04-11,RABIES,1.0,PIDSR
DPSRT0111AE,2022-04-11,ROTAVIRAL ENTERITIS,1.0,PIDSR
DPSRT00FE3A,2022-04-18,TYPHOID FEVER,5.0,PIDSR
DPSRT00476A,2022-04-18,HEPATITIS A,0.0,PIDSR
DPSRT00B51A,2022-04-18,LEPTOSPIROSIS,0.0,PIDSR
DPSRT006BFA,2022-04-18,CHOLERA,1.0,PIDSR
DPSRT0111BA,2022-04-18,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT00908A,2022-04-18,DENGUE FEVER,214.0,PIDSR
DPSRT0122CA,2022-04-18,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT00D9AA,2022-04-18,RABIES,0.0,PIDSR
DPSRT0022DA,2022-04-18,ACUTE BLOODY DIARRHEA,0.0,PIDSR
DPSRT00B526,2022-04-25,LEPTOSPIROSIS,0.0,PIDSR
DPSRT006C06,2022-04-25,CHOLERA,1.0,PIDSR
DPSRT0122D6,2022-04-25,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT00D9B6,2022-04-25,RABIES,0.0,PIDSR
DPSRT0022E6,2022-04-25,ACUTE BLOODY DIARRHEA,0.0,PIDSR
DPSRT00FE46,2022-04-25,TYPHOID FEVER,7.0,PIDSR
DPSRT009096,2022-04-25,DENGUE FEVER,193.0,PIDSR
DPSRT0111C6,2022-04-25,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT004776,2022-04-25,HEPATITIS A,0.0,PIDSR
DPSRT004782,2022-05-02,HEPATITIS A,0.0,PIDSR
DPSRT00D9C2,2022-05-02,RABIES,0.0,PIDSR
DPSRT0022F2,2022-05-02,ACUTE BLOODY DIARRHEA,0.0,PIDSR
DPSRT0090A2,2022-05-02,DENGUE FEVER,173.0,PIDSR
DPSRT006C12,2022-05-02,CHOLERA,0.0,PIDSR
DPSRT0122E2,2022-05-02,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT00FE52,2022-05-02,TYPHOID FEVER,6.0,PIDSR
DPSRT0111D2,2022-05-02,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT00B532,2022-05-02,LEPTOSPIROSIS,0.0,PIDSR
DPSRT006C1E,2022-05-09,CHOLERA,0.0,PIDSR
DPSRT0090AE,2022-05-09,DENGUE FEVER,170.0,PIDSR
DPSRT00FE5E,2022-05-09,TYPHOID FEVER,8.0,PIDSR
DPSRT00478E,2022-05-09,HEPATITIS A,0.0,PIDSR
DPSRT0122EE,2022-05-09,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT0111DE,2022-05-09,ROTAVIRAL ENTERITIS,1.0,PIDSR
DPSRT00D9CE,2022-05-09,RABIES,0.0,PIDSR
DPSRT00B53E,2022-05-09,LEPTOSPIROSIS,2.0,PIDSR
DPSRT0022FE,2022-05-09,ACUTE BLOODY DIARRHEA,1.0,PIDSR
DPSRT00B54A,2022-05-16,LEPTOSPIROSIS,0.0,PIDSR
DPSRT0122FA,2022-05-16,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT0111EA,2022-05-16,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT00230A,2022-05-16,ACUTE BLOODY DIARRHEA,1.0,PIDSR
DPSRT006C2A,2022-05-16,CHOLERA,0.0,PIDSR
DPSRT0090BA,2022-05-16,DENGUE FEVER,146.0,PIDSR
DPSRT00D9DA,2022-05-16,RABIES,0.0,PIDSR
DPSRT00479A,2022-05-16,HEPATITIS A,0.0,PIDSR
DPSRT00FE6A,2022-05-16,TYPHOID FEVER,6.0,PIDSR
DPSRT0090C6,2022-05-23,DENGUE FEVER,127.0,PIDSR
DPSRT0047A6,2022-05-23,HEPATITIS A,1.0,PIDSR
DPSRT012306,2022-05-23,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT00D9E6,2022-05-23,RABIES,0.0,PIDSR
DPSRT002316,2022-05-23,ACUTE BLOODY DIARRHEA,2.0,PIDSR
DPSRT00FE76,2022-05-23,TYPHOID FEVER,7.0,PIDSR
DPSRT0111F6,2022-05-23,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT00B556,2022-05-23,LEPTOSPIROSIS,1.0,PIDSR
DPSRT006C36,2022-05-23,CHOLERA,0.0,PIDSR
DPSRT012312,2022-05-30,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT0090D2,2022-05-30,DENGUE FEVER,159.0,PIDSR
DPSRT0047B2,2022-05-30,HEPATITIS A,0.0,PIDSR
DPSRT006C42,2022-05-30,CHOLERA,0.0,PIDSR
DPSRT00FE82,2022-05-30,TYPHOID FEVER,4.0,PIDSR
DPSRT00B562,2022-05-30,LEPTOSPIROSIS,1.0,PIDSR
DPSRT011202,2022-05-30,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT00D9F2,2022-05-30,RABIES,0.0,PIDSR
DPSRT002322,2022-05-30,ACUTE BLOODY DIARRHEA,5.0,PIDSR
DPSRT00B56E,2022-06-06,LEPTOSPIROSIS,2.0,PIDSR
DPSRT01120E,2022-06-06,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT0047BE,2022-06-06,HEPATITIS A,0.0,PIDSR
DPSRT00D9FE,2022-06-06,RABIES,0.0,PIDSR
DPSRT006C4E,2022-06-06,CHOLERA,0.0,PIDSR
DPSRT0090DE,2022-06-06,DENGUE FEVER,139.0,PIDSR
DPSRT01231E,2022-06-06,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT00FE8E,2022-06-06,TYPHOID FEVER,4.0,PIDSR
DPSRT00232E,2022-06-06,ACUTE BLOODY DIARRHEA,1.0,PIDSR
DPSRT00233A,2022-06-13,ACUTE BLOODY DIARRHEA,0.0,PIDSR
DPSRT0090EA,2022-06-13,DENGUE FEVER,123.0,PIDSR
DPSRT00B57A,2022-06-13,LEPTOSPIROSIS,1.0,PIDSR
DPSRT0047CA,2022-06-13,HEPATITIS A,0.0,PIDSR
DPSRT01121A,2022-06-13,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT00FE9A,2022-06-13,TYPHOID FEVER,6.0,PIDSR
DPSRT00DA0A,2022-06-13,RABIES,0.0,PIDSR
DPSRT01232A,2022-06-13,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT006C5A,2022-06-13,CHOLERA,2.0,PIDSR
DPSRT00DA16,2022-06-20,RABIES,2.0,PIDSR
DPSRT00FEA6,2022-06-20,TYPHOID FEVER,8.0,PIDSR
DPSRT00B586,2022-06-20,LEPTOSPIROSIS,2.0,PIDSR
DPSRT011226,2022-06-20,ROTAVIRAL ENTERITIS,1.0,PIDSR
DPSRT012336,2022-06-20,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT0047D6,2022-06-20,HEPATITIS A,0.0,PIDSR
DPSRT0090F6,2022-06-20,DENGUE FEVER,99.0,PIDSR
DPSRT002346,2022-06-20,ACUTE BLOODY DIARRHEA,1.0,PIDSR
DPSRT006C66,2022-06-20,CHOLERA,0.0,PIDSR
DPSRT00B592,2022-06-27,LEPTOSPIROSIS,3.0,PIDSR
DPSRT009102,2022-06-27,DENGUE FEVER,93.0,PIDSR
DPSRT00DA22,2022-06-27,RABIES,0.0,PIDSR
DPSRT012342,2022-06-27,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT002352,2022-06-27,ACUTE BLOODY DIARRHEA,0.0,PIDSR
DPSRT011232,2022-06-27,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT00FEB2,2022-06-27,TYPHOID FEVER,4.0,PIDSR
DPSRT006C72,2022-06-27,CHOLERA,0.0,PIDSR
DPSRT0047E2,2022-06-27,HEPATITIS A,0.0,PIDSR
DPSRT00FEBE,2022-07-04,TYPHOID FEVER,7.0,PIDSR
DPSRT0047EE,2022-07-04,HEPATITIS A,0.0,PIDSR
DPSRT00B59E,2022-07-04,LEPTOSPIROSIS,0.0,PIDSR
DPSRT006C7E,2022-07-04,CHOLERA,1.0,PIDSR
DPSRT01234E,2022-07-04,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT00DA2E,2022-07-04,RABIES,0.0,PIDSR
DPSRT01123E,2022-07-04,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT00910E,2022-07-04,DENGUE FEVER,82.0,PIDSR
DPSRT00235E,2022-07-04,ACUTE BLOODY DIARRHEA,4.0,PIDSR
DPSRT00911A,2022-07-11,DENGUE FEVER,66.0,PIDSR
DPSRT006C8A,2022-07-11,CHOLERA,2.0,PIDSR
DPSRT01235A,2022-07-11,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT01124A,2022-07-11,ROTAVIRAL ENTERITIS,1.0,PIDSR
DPSRT00FECA,2022-07-11,TYPHOID FEVER,9.0,PIDSR
DPSRT00DA3A,2022-07-11,RABIES,0.0,PIDSR
DPSRT00B5AA,2022-07-11,LEPTOSPIROSIS,0.0,PIDSR
DPSRT0047FA,2022-07-11,HEPATITIS A,0.0,PIDSR
DPSRT00236A,2022-07-11,ACUTE BLOODY DIARRHEA,6.0,PIDSR
DPSRT004806,2022-07-18,HEPATITIS A,0.0,PIDSR
DPSRT00DA46,2022-07-18,RABIES,0.0,PIDSR
DPSRT00B5B6,2022-07-18,LEPTOSPIROSIS,1.0,PIDSR
DPSRT006C96,2022-07-18,CHOLERA,1.0,PIDSR
DPSRT00FED6,2022-07-18,TYPHOID FEVER,8.0,PIDSR
DPSRT002376,2022-07-18,ACUTE BLOODY DIARRHEA,6.0,PIDSR
DPSRT012366,2022-07-18,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT011256,2022-07-18,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT009126,2022-07-18,DENGUE FEVER,66.0,PIDSR
DPSRT006CA2,2022-07-25,CHOLERA,0.0,PIDSR
DPSRT012372,2022-07-25,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT011262,2022-07-25,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT002382,2022-07-25,ACUTE BLOODY DIARRHEA,2.0,PIDSR
DPSRT00DA52,2022-07-25,RABIES,1.0,PIDSR
DPSRT00B5C2,2022-07-25,LEPTOSPIROSIS,1.0,PIDSR
DPSRT00FEE2,2022-07-25,TYPHOID FEVER,6.0,PIDSR
DPSRT009132,2022-07-25,DENGUE FEVER,64.0,PIDSR
DPSRT004812,2022-07-25,HEPATITIS A,0.0,PIDSR
DPSRT00481E,2022-08-01,HEPATITIS A,0.0,PIDSR
DPSRT00B5CE,2022-08-01,LEPTOSPIROSIS,1.0,PIDSR
DPSRT00DA5E,2022-08-01,RABIES,0.0,PIDSR
DPSRT006CAE,2022-08-01,CHOLERA,0.0,PIDSR
DPSRT00238E,2022-08-01,ACUTE BLOODY DIARRHEA,2.0,PIDSR
DPSRT01237E,2022-08-01,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT00FEEE,2022-08-01,TYPHOID FEVER,9.0,PIDSR
DPSRT01126E,2022-08-01,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT00913E,2022-08-01,DENGUE FEVER,55.0,PIDSR
DPSRT00B5DA,2022-08-08,LEPTOSPIROSIS,0.0,PIDSR
DPSRT006CBA,2022-08-08,CHOLERA,1.0,PIDSR
DPSRT01238A,2022-08-08,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT00482A,2022-08-08,HEPATITIS A,0.0,PIDSR
DPSRT00914A,2022-08-08,DENGUE FEVER,63.0,PIDSR
DPSRT01127A,2022-08-08,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT00FEFA,2022-08-08,TYPHOID FEVER,9.0,PIDSR
DPSRT00DA6A,2022-08-08,RABIES,0.0,PIDSR
DPSRT00239A,2022-08-08,ACUTE BLOODY DIARRHEA,3.0,PIDSR
DPSRT009156,2022-08-15,DENGUE FEVER,48.0,PIDSR
DPSRT004836,2022-08-15,HEPATITIS A,0.0,PIDSR
DPSRT00FF06,2022-08-15,TYPHOID FEVER,7.0,PIDSR
DPSRT012396,2022-08-15,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT006CC6,2022-08-15,CHOLERA,1.0,PIDSR
DPSRT00DA76,2022-08-15,RABIES,0.0,PIDSR
DPSRT00B5E6,2022-08-15,LEPTOSPIROSIS,0.0,PIDSR
DPSRT011286,2022-08-15,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT0023A6,2022-08-15,ACUTE BLOODY DIARRHEA,0.0,PIDSR
DPSRT009162,2022-08-22,DENGUE FEVER,60.0,PIDSR
DPSRT00B5F2,2022-08-22,LEPTOSPIROSIS,0.0,PIDSR
DPSRT0123A2,2022-08-22,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT011292,2022-08-22,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT0023B2,2022-08-22,ACUTE BLOODY DIARRHEA,8.0,PIDSR
DPSRT006CD2,2022-08-22,CHOLERA,2.0,PIDSR
DPSRT00DA82,2022-08-22,RABIES,0.0,PIDSR
DPSRT00FF12,2022-08-22,TYPHOID FEVER,6.0,PIDSR
DPSRT004842,2022-08-22,HEPATITIS A,0.0,PIDSR
DPSRT00B5FE,2022-08-29,LEPTOSPIROSIS,0.0,PIDSR
DPSRT01129E,2022-08-29,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT0023BE,2022-08-29,ACUTE BLOODY DIARRHEA,2.0,PIDSR
DPSRT0123AE,2022-08-29,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT00FF1E,2022-08-29,TYPHOID FEVER,1.0,PIDSR
DPSRT00916E,2022-08-29,DENGUE FEVER,40.0,PIDSR
DPSRT00DA8E,2022-08-29,RABIES,0.0,PIDSR
DPSRT006CDE,2022-08-29,CHOLERA,2.0,PIDSR
DPSRT00484E,2022-08-29,HEPATITIS A,1.0,PIDSR
DPSRT00485A,2022-09-05,HEPATITIS A,0.0,PIDSR
DPSRT00B60A,2022-09-05,LEPTOSPIROSIS,0.0,PIDSR
DPSRT00FF2A,2022-09-05,TYPHOID FEVER,3.0,PIDSR
DPSRT0123BA,2022-09-05,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT00DA9A,2022-09-05,RABIES,0.0,PIDSR
DPSRT0023CA,2022-09-05,ACUTE BLOODY DIARRHEA,0.0,PIDSR
DPSRT006CEA,2022-09-05,CHOLERA,0.0,PIDSR
DPSRT0112AA,2022-09-05,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT00917A,2022-09-05,DENGUE FEVER,52.0,PIDSR
DPSRT004866,2022-09-12,HEPATITIS A,0.0,PIDSR
DPSRT0123C6,2022-09-12,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT0023D6,2022-09-12,ACUTE BLOODY DIARRHEA,0.0,PIDSR
